epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,138.876,0.1949,0.30258,0.27925,1.22988,0,0.68927,0.57667,0.61316,0.32323,0.66618,0.55267,0.57503,0.26143,0.22945,0.49018,0.36975,1.331,0,0.000331978,0.000331978,0.0671341
2,385.306,0.19706,0.28578,0.24137,1.23558,0,0.69678,0.558,0.59639,0.32636,0.68936,0.54663,0.57137,0.27409,0.21963,0.36529,0.33165,1.30892,0,0.000665149,0.000665149,0.034134
3,530.906,0.19639,0.27861,0.22217,1.22291,0,0.72133,0.61745,0.66219,0.37769,0.71836,0.59732,0.63413,0.3015,0.21091,0.30798,0.25198,1.23867,0,0.00099767,0.00099767,0.00113317
4,650.122,0.19187,0.26096,0.2042,1.21162,0,0.74046,0.66002,0.70558,0.39575,0.7161,0.64402,0.6804,0.35949,0.20875,0.28116,0.23062,1.22737,0,0.000997803,0.000997803,0.000997803
5,775.976,0.1882,0.2572,0.19487,1.19284,0,0.78965,0.73577,0.77921,0.45832,0.75911,0.70841,0.74658,0.38632,0.19502,0.27823,0.19206,1.18251,0,0.000996097,0.000996097,0.000996097
6,988.366,0.18144,0.24741,0.186,1.16076,0,0.70779,0.75253,0.79474,0.47568,0.70005,0.73822,0.77212,0.38983,0.19144,0.26828,0.22046,1.16608,0,0.000993906,0.000993906,0.000993906
7,1349.2,0.18171,0.23938,0.17678,1.15913,0,0.76335,0.73053,0.77349,0.44159,0.78288,0.70159,0.75728,0.39355,0.19863,0.27103,0.1891,1.19746,0,0.000991232,0.000991232,0.000991232
8,1670.34,0.17522,0.23343,0.16574,1.14026,0,0.77581,0.66463,0.74224,0.45329,0.75122,0.65562,0.7112,0.37626,0.18903,0.27744,0.21668,1.16389,0,0.000988079,0.000988079,0.000988079
9,2124.38,0.1768,0.23086,0.16811,1.14867,0,0.83225,0.78,0.83741,0.50912,0.83363,0.74059,0.80747,0.42937,0.18345,0.25881,0.17376,1.1453,0,0.000984449,0.000984449,0.000984449
10,2240.85,0.17301,0.22959,0.16026,1.13637,0,0.84442,0.76121,0.83538,0.51625,0.82361,0.73648,0.79435,0.42086,0.18095,0.25764,0.17028,1.12668,0,0.000980345,0.000980345,0.000980345
