epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,168.945,0.15386,0.25044,0.27047,0.85707,0,0.71066,0.55901,0.63824,0.34924,0.68342,0.52345,0.58586,0.26414,0.16786,0.31673,0.30934,0.86564,0,0.000159675,0.000159675,0.0802003
2,329.307,0.15514,0.24509,0.22872,0.86093,0,0.72323,0.71362,0.73162,0.41218,0.7071,0.69515,0.70454,0.35724,0.16393,0.26098,0.23547,0.8539,0,0.000319621,0.000319621,0.0603603
3,487.696,0.15209,0.23887,0.21288,0.84749,0,0.75991,0.72533,0.77611,0.45348,0.73529,0.7074,0.73019,0.37391,0.15444,0.23791,0.21129,0.83977,0,0.000479349,0.000479349,0.04052
4,642.213,0.15132,0.23451,0.20085,0.84465,0,0.7443,0.69345,0.75981,0.43852,0.73461,0.68623,0.73691,0.39283,0.15841,0.22277,0.21625,0.83169,0,0.000638699,0.000638699,0.0206793
5,800.1,0.14804,0.22809,0.19532,0.82791,0,0.7996,0.74458,0.80928,0.48672,0.77275,0.7231,0.76977,0.42544,0.14815,0.22251,0.1908,0.81059,0,0.000797506,0.000797506,0.000838157
6,957.416,0.14418,0.21988,0.18182,0.81468,0,0.79051,0.74555,0.80433,0.47176,0.78335,0.71832,0.77355,0.42117,0.15675,0.21751,0.2206,0.82969,0,0.000796612,0.000796612,0.000796612
7,1116,0.14262,0.21765,0.17186,0.80536,0,0.83336,0.75738,0.82038,0.49204,0.81414,0.74163,0.78808,0.42808,0.15167,0.21445,0.17928,0.81727,0,0.000795125,0.000795125,0.000795125
8,1275.52,0.14141,0.21356,0.17144,0.80344,0,0.79627,0.77141,0.82247,0.51127,0.79631,0.74836,0.7899,0.44693,0.14458,0.21492,0.17914,0.79112,0,0.000793369,0.000793369,0.000793369
9,1427.76,0.14014,0.21047,0.16477,0.79335,0,0.84155,0.76118,0.83909,0.50778,0.82888,0.74896,0.81616,0.45128,0.14778,0.20339,0.17194,0.79448,0,0.000791346,0.000791346,0.000791346
10,1577.41,0.13723,0.20796,0.15674,0.78951,0,0.862,0.81755,0.86832,0.54832,0.8416,0.79466,0.83801,0.47187,0.14066,0.20407,0.15148,0.77937,0,0.000789058,0.000789058,0.000789058
11,1727.73,0.136,0.20516,0.15395,0.78527,0,0.87201,0.79482,0.86083,0.53815,0.8648,0.77804,0.8327,0.47182,0.1425,0.1966,0.1511,0.78075,0,0.000786507,0.000786507,0.000786507
