epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3228.74,1.14903,1.61566,0.63359,1.02452,0,0.87938,0.84137,0.8868,0.5736,0.89388,0.84796,0.89863,0.54841,1.30271,1.99865,0.64536,1.11808,0,0.000665057,0.000665057,0.000665057
29,3338.73,1.14362,1.62106,0.64202,1.0232,0,0.91211,0.8251,0.89108,0.568,0.91465,0.82565,0.89062,0.54497,1.28513,1.93562,0.65921,1.09367,0,0.000636762,0.000636762,0.000636762
30,3455.06,1.14316,1.6119,0.62788,1.023,0,0.88737,0.83218,0.87816,0.5688,0.89278,0.84,0.88447,0.54813,1.29092,1.96346,0.67614,1.09796,0,0.000608468,0.000608468,0.000608468
31,3729.78,1.13502,1.59762,0.62984,1.01739,0,0.86492,0.84424,0.88523,0.57486,0.8576,0.85754,0.88964,0.54877,1.2749,1.95185,0.65531,1.09578,0,0.000580174,0.000580174,0.000580174
32,3839.16,1.13904,1.57518,0.61314,1.02104,0,0.91692,0.85042,0.90095,0.58853,0.91724,0.85015,0.89733,0.5556,1.26442,1.952,0.61699,1.09279,0,0.00055188,0.00055188,0.00055188
33,3944.6,1.10978,1.55771,0.60021,1.01083,0,0.89843,0.85347,0.88982,0.57668,0.90709,0.84615,0.8877,0.55561,1.28158,1.96349,0.63465,1.09639,0,0.000523586,0.000523586,0.000523586
34,4053.27,1.10083,1.54644,0.5898,1.00245,0,0.89596,0.85083,0.89095,0.5684,0.89855,0.85535,0.89424,0.55326,1.31794,1.94754,0.6356,1.11185,0,0.000495291,0.000495291,0.000495291
35,4164.64,1.10576,1.56344,0.58634,1.0098,0,0.91472,0.84362,0.89176,0.58389,0.91792,0.85584,0.90506,0.56371,1.27058,1.92722,0.61266,1.09778,0,0.000466997,0.000466997,0.000466997
36,4273.6,1.08927,1.51171,0.56761,0.99921,0,0.89807,0.85891,0.90096,0.58877,0.89978,0.87026,0.90877,0.56324,1.26146,1.91402,0.60887,1.09202,0,0.000438703,0.000438703,0.000438703
37,4465.7,1.1019,1.54986,0.58181,0.99862,0,0.89876,0.84575,0.89016,0.57935,0.90847,0.85482,0.89736,0.5632,1.2844,1.98262,0.61944,1.12576,0,0.000410409,0.000410409,0.000410409
38,4571.79,1.09885,1.54317,0.57922,0.9985,0,0.90782,0.8599,0.89591,0.58881,0.9059,0.8634,0.90232,0.55016,1.2528,1.94869,0.60085,1.10307,0,0.000382115,0.000382115,0.000382115
39,4681.82,1.08586,1.5309,0.56314,1.00184,0,0.89676,0.85221,0.88889,0.5798,0.90317,0.84666,0.89325,0.5643,1.28051,1.9436,0.61194,1.11731,0,0.00035382,0.00035382,0.00035382
40,4874.92,1.06246,1.49225,0.5429,0.99345,0,0.91351,0.86074,0.90116,0.59198,0.9115,0.86042,0.90406,0.56096,1.26655,1.91887,0.58945,1.10951,0,0.000325526,0.000325526,0.000325526
41,4988.54,1.05211,1.55574,0.4973,1.03124,0,0.91177,0.88198,0.91029,0.5957,0.9131,0.85931,0.90765,0.56518,1.25507,1.91781,0.59554,1.09887,0,0.000297232,0.000297232,0.000297232
42,5092.11,1.03938,1.53312,0.4825,1.02199,0,0.90748,0.85223,0.89869,0.59095,0.90955,0.85725,0.89716,0.56124,1.25356,1.93354,0.59188,1.10612,0,0.000268938,0.000268938,0.000268938
43,5195.88,1.02894,1.50639,0.46759,1.0195,0,0.90358,0.8727,0.89602,0.59142,0.909,0.87632,0.89957,0.56356,1.24935,1.92819,0.59099,1.10844,0,0.000240644,0.000240644,0.000240644
44,5299.96,1.01781,1.49734,0.46051,1.00932,0,0.90082,0.85513,0.89662,0.59412,0.91223,0.85075,0.89645,0.56245,1.24133,1.95466,0.59223,1.10051,0,0.000212349,0.000212349,0.000212349
45,5403.53,0.99826,1.48848,0.45221,1.00409,0,0.9177,0.84838,0.90259,0.60201,0.91744,0.84793,0.90448,0.56735,1.24597,1.94654,0.58156,1.1062,0,0.000184055,0.000184055,0.000184055
46,5508.35,0.99216,1.47334,0.44369,0.99877,0,0.9007,0.8603,0.90124,0.59779,0.90502,0.86303,0.90369,0.56794,1.23855,1.92483,0.57565,1.09909,0,0.000155761,0.000155761,0.000155761
47,5612.02,0.97646,1.47117,0.42814,0.9896,0,0.91732,0.85797,0.90523,0.59778,0.9145,0.85561,0.90224,0.56582,1.24224,1.92338,0.57972,1.10788,0,0.000127467,0.000127467,0.000127467
48,5715.81,0.96963,1.45014,0.4272,0.98915,0,0.90362,0.86003,0.89683,0.59615,0.90367,0.86158,0.89478,0.56403,1.24443,1.95548,0.58832,1.11158,0,9.91726e-05,9.91726e-05,9.91726e-05
49,5820.14,0.97594,1.46133,0.42625,0.99038,0,0.91275,0.86753,0.90549,0.6009,0.91144,0.85923,0.90487,0.5705,1.25217,1.94483,0.57822,1.11845,0,7.08784e-05,7.08784e-05,7.08784e-05
50,5931.37,0.95304,1.44672,0.41454,0.97881,0,0.91219,0.86538,0.90476,0.60218,0.91068,0.86427,0.90454,0.57036,1.24695,1.95434,0.57713,1.11801,0,4.25842e-05,4.25842e-05,4.25842e-05
